Context|English|Français
detail|Please click on the link in that email to validate your subscription.|Merci de cliquer sur le lien figurant sur celui-ci afin de la valider.
detail|Please fill-in your email address.|Merci de saisir votre e-mail.
detail|Prev|Prec
detail|Ref:|Réf :
detail|Salon presentation|Présentation du salon
detail|Salon rates|Tarifs du salon
detail|Share your opinion|Donnez votre avis
detail|Show email|Afficher l%u2019email
detail|Stay informed of our news|Suivez notre actualité
detail|Subscribe to the Franck Provost newsletter|Inscrivez-vous à la newsletter Franck Provost
detail|Subscribe to the newsletter|Inscrivez-vous à la newsletter
detail|The Franck Provost TEAM welcomes you.|La TEAM Franck Provost vous souhaite la bienvenue.
detail|This season, Franck and Fabien Provost take over Gold, an inimitable metal, symbol of femininity and glamor, and sublimate the Precious Colors that lend themselves to all styles...|Cette saison, Franck et Fabien Provost s%u2019approprient l%u2019Or, métal inimitable, symbole de féminité et de glamour, et subliment les Couleurs Précieuses qui se plient à tous les styles...
detail|Uber ride: %{low}s to %{high}s, waiting time %{time}s|Course Uber : %{low}s à %{high}s, délai d%u2019attente %{time}s
detail|Welcome to your hairdressing salon %1s|Bienvenue dans votre salon de coiffure %1s
detail|Woman|Femme
detail|You already subscribed to our newsletter.|Vous êtes déjà inscrit à la newsletter.
detail|Your email|Votre email
detail|Your Hairdressing Salon<br/>%1s %2s|Votre salon de coiffure<br/>%1s %2s
detail|Your subscription has been updated.|Votre inscription a été mise à jour.
detail|Your subscription to the newsletter has been taken into account. You will receive a confirmation email in a few minutes.|Votre demande d%u2019inscription a bien été prise en compte et vous allez recevoir un mail de confirmation d%u2019ici quelques minutes.
card|by car|en voiture
card|by foot|à pieds
card|Call this salon|Appeler le salon
home|Every woman is unique. Through the experience and know-how of hairdressers and colorists in my salons, the cuts and colors adapt to each one of you.|Chaque femme est unique. A travers l%u2019expérience et le savoir-faire des coiffeurs et des coloristes de mes salons, les coupes et couleurs s%u2019adaptent à chacune d%u2019entre vous.
home|Franck Provost Hairdressing Salons Around the World|Les salons de coiffure Franck Provost dans le monde
home|Franck Provost Hairdressing Salons in France by Department|Les salons de coiffure Franck Provost en France par département
home|Franck Provost Hairdressing Salons in France|Les salons de coiffure Franck Provost en France
home|Our Hairdressing Salons Around the World|Nos salons de coiffure dans le monde
home|Our Hairdressing Salons by Department|Nos salons de coiffure par département
home|Our Hairdressing Salons in France|Nos salons de coiffure en France
home|Our Salons|Nos salons
meta|Hairdressing Salons Franck Provost : Quickly find a list of hairdressing salons, their opening hours and access map|Salons de coiffure Franck Provost : trouvez rapidement une liste des salons de coiffure, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|Quickly find a list of hairdressing salons Franck Provost, their opening hours and access map|Trouvez rapidement une liste des salons de coiffure Franck Provost, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|Hairdressing Salons Franck Provost in (%2s), quickly find a list of hairdressing salons, their opening hours and access map|Salons de coiffure Franck Provost en %1s : trouvez rapidement une liste des salons de coiffure, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|Quickly find a list of hairdressing salons Franck Provost in %1s, their opening hours and access map|Trouvez rapidement une liste des salons de coiffure Franck Provost en %1s, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|Hairdressing Salons Franck Provost : In the department of the %1s (%2s), quickly find a list of hairdressing salons, their opening hours and access map|Salons de coiffure Franck Provost : dans le département %1s (%2s), trouvez rapidement une liste des salons de coiffure, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|In the department of the %1s (%2s), quickly find a list of hairdressing salons Franck Provost, their opening hours and access map|Dans le département %1s (%2s), trouvez rapidement une liste de salon de coiffure Frank Provost, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|Hairdressing Salons Franck Provost : In the city of %1s (%2s), quickly find a list of hairdressing salons, their opening hours and access map|Salons de coiffure Franck Provost : dans la ville de %1s (%2s), trouvez rapidement une liste des salons de coiffure, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|In the city of the %1s (%2s), quickly find a list of hairdressing salons Franck Provost, their opening hours and access map|Dans la ville de %1s (%2s), trouvez rapidement une liste de salons de coiffure Frank Provost, leurs horaires d%u2019ouverture et leurs plans d%u2019accès
meta|%1 hairdressing salon %2s %3s|Salon de coiffure %1s %2s %3s
meta|Your %1 hairdressing salon<br/>%2s %3s|Votre salon de coiffure<br/>%1s %2s %3s
meta|Your %1s hairdressing salon %2s %3, quickly find the opening hours, access map, salon rates, announcement job|Votre salon de coiffure %1s %2s %3, trouvez les horaires d%u2019ouverture, le plan d%u2019accès, la liste des prix, les annonces d%u2019emplois
newsletter|Firstname|Prénom
newsletter|Follow the latest news and trends from Franck Provost|Suivez les dernières actualités et tendances Franck Provost
newsletter|I Subscribe|Je m%u2019inscris
newsletter|Man|Homme
newsletter|Name|Nom
newsletter|* Mandatory fields|* Champs obligatoires
newsletter|Woman|Femme
poi|and|et
poi|By car|En voiture
poi|By foot|À pieds
poi|Closed today|Fermé aujourd%u2019hui
poi|Closed|Fermé
poi|Distance|Distance
poi|from %1s to %2s|de %1s à %2s
poi|Itinerary|Itinéraire
poi|Open today<br/> %1s|Ouvert aujourd%u2019hui<br/> %1s
poi|Opening Hours:|Horaires
poi|Show email|Afficher l%u2019email
poi|Show phone number|Afficher le téléphone
poi|Uber estimation|Estimation Uber
search|No salons found|Aucun salon trouvé
search|1 salon found|1 salon trouvé
search|%1d salons found|%1d salons trouvés
search|Franck Provost Hairdressing Salons in near cities|Les salons de coiffure Franck Provost dans les villes à proximité
search|Franck Provost Hairdressing Salons in near departments|Les salons de coiffure Franck Provost dans les départements limitrophes
search|Our Salons in Near Cities|Nos salons dans les villes à proximité
searchform|Advanced Filters|Filtres avancés
searchform|Booking available|Prise de rendez-vous
searchform|Commercial operation|Opération commerciale
searchform|Find a Salon Near You|Trouvez un salon près de chez vous
searchform|Loyalty card|Carte de fidélité
searchform|Open on monday|Ouvert le lundi
searchform|Shopping center|Centre commercial
seo|en/|fr/
seo|hairdresser|coiffeur
seo|Itinerary|Itineraire
seo|search|recherche
way|%1s itinerary from <strong>%2s</strong> to <strong>%3s</strong>|Itinéraire %1s de <strong>%2s</strong> vers <strong>%3s</strong>
way|Arrival:|Arrivée :
way|Car itinerary|Itinéraire routier
way|Departure:|Départ :
way|Distance: %1s duration: %2s|Distance : %1s durée : %2s
way|Loading...|Chargement...
way|Map|Carte
way|Mode:|Mode:
way|My Roadmap|Ma feuille de route
way|Pedestrian itinerary|Itinéraire piéton
way|Print|Imprimer
way|Public transport|Transport en commun
way|Roadmap Details|Détails de l%u2019itinéraire
way|Show/hide steps|Afficher/masquer les étapes
wayform|Arrival|Arrivée
wayform|Car|Voiture
wayform|Departure|Départ
wayform|Pedestrian|À pied
wayform|Public transport|Transport en commun
wayform|What is your itinerary?|Quel est votre itinéraire ?
wayform|Your means of transport|Votre moyen de transport
